ID|Tweet|Subtask_A
|dam sehpasn da hapuran mahkuma ok yaa demek gibiydi umutlarmz|OTHER
|user teambieber sizce jb5'in ad ne olabilir rt'ledikten sonra bu tweet'in altna tahminlerinizi yazn|OTHER
|sen ankara'sn ben stanbul'um tm kararlar sende ksada tm szler bende biter unutma|OTHER
|user trkiyem de birlik btnln ve ekonomideki darboazn bitmi olarak halkn huzur ierisinde yaamasn dilerim|OTHER
|user bunlara frsat vermemek iin davamza sahip kcaz inallah|OTHER
|ekme dnyann nazn aman ha kl be vakit namazn yarn klarm diyenlerin bugn kldlar cenaze namazn dnya fani allah'im bak|OTHER
|user user arif sa ( shp ) sabahat akkkiraz tolga candar emre saltk hilmi yarac zlf livaneli onur akn eee bunlar kimse hatrlatmayacakm|OTHER
|user farkl illerdeyiz ancak gnller bir sen kazan bakan|OTHER
|nsanca yaamay hak eden ama emeklerinin karln alamayan demokrasilerin olmazsa olmazlar fedakar cefakar tm basn emekisi gazeteci dostlarmn bu anlaml gnn user bakan kardeim user nezdinde kutluyorum|OTHER
|user seninki hep laf ne bir fotorafn var ne bir video gerek bile degilsin|OTHER
|user aleykmselam amin inallah hayrl geceler dilerim |OTHER
|hepsi tamam ama ive bir konyalya gre fazla kibar|OTHER
|hadi biraz coalm mutlulukpeinde seldem|OTHER
|srekli pp koklaan ifti deil de kahkalarla sohbet eden ifti kskanrm ben|OTHER
|mkemmel bir gnaydin var dar da sal|OTHER
|tam bu konuda bir eyler yazmay dnyordum sn sedef kaban aklamasn dinledim evet bizler muhalif deiliz byle de tanmlanmak istemiyoruz bizler atatrkten cumhuriyetten akldan yana olan insanlarz btn bunlara kar olanlar asl muhaliflerdir|OTHER
|user eer icerdeyse akpye syleyin karsnlar ieriden|OTHER
|user day bejikta l olarak yanndaym|OTHER
|user user user bak gel gidelim kutlayalm falan derse sakn kanma haa zjejcjskxkskcksk|OTHER
|bu cengin nereye varacan kestiremesem de cenk iinde olmaktan bir beklentim var hayat kendim iin dokunulur klmak byk tutkum bu smet zel|OTHER
|bayram msjlar zel olunca gzel bir msj 10000 kiiye gnderince deil|OTHER
|user herkes gibi olmakolmayacak bir eyherkes gibi olmakolmamak gibi bir ey sezai karakoc|OTHER
|gerekten adanaya dair sevdiim eylerden biri de hizmet yapamayp saptana annda yol vermesi kimsenin kimseye eyvallah yok grevini yapmayan annda indirirler o koltuktan|OTHER
|doymadmzla kalsak yine iyi dedirtiyorsunuz da maddi olarak da harici giderimiz oluyor yurt cretine zam yapp beslenme yardmn artrdnz ilan ederken yemek fiyatlarn da ilan edin ki rencilere bahsedilmi mkemmel imkanlar olduu sanlmasn! user user|OTHER
|zr dilemek bu kadar zor olmamal egonu bir kenara brak herey daha kolay olacak eminim|OTHER
|user user niye hemen soylemiyorlar yani o kadar bekledik sinirleeim bozulduu|OTHER
|dansa bi suikast bi samuray sertliiyle balayp kiraz ieklerinin altndaki zarifliiyle bitirdi valla ben byle hipnoz eden bir dans grmedim|OTHER
|trtln yolun sonu dediine allah 'kelebek demi hi birimiz bizi bekleyen gzellikleri bilemeyiz|OTHER
|user user senin gibi fet c deiliz hamdolsun|OTHER
|user slm gnaydn banu hanm cemal ben tanalm takip eder misin ltfen|OTHER
|ben imdi biraz ne yaparsam yapaym|OTHER
|o byk o grkemli son lm bile anlamn yitirirdi yaanlas her ey yaanm olsayd eer|OTHER
|user genel de akrep burcu iin pek iyi eyler sylenmez iyiymi|OTHER
|user user kuzey klar (the machine) efsane film aa 4 yl aralksz izledim halen sony chanelde oynanyor haberin olsun|OTHER
|user bizim izlediimiz gibi izliyor futbolcularmz dua edelim 1 0 hala skor )|OTHER
|hayr zaten oje rengine karar veremeyen bir kzm|OTHER
|sen nasl bir imtahansn be hayat|OTHER
|user nitekim yorum yazan deerli beyefendi de sizin terkedilmisliginiz zerine bir teselli yorumu yapm sanrm neden bahsettiimi anladnz benim ki bir dost uyars bylesine suni bir gndemin kafalarda nasl bir gereklik yarattna dair kk bir rnek|OTHER
|user bimde ideal sevgili satlmaya balam sanrm|OTHER
|user yapacak biey zor zamanla herey rutine biner|OTHER
|"user sn bak bu seimi kazanmann yolu kap kap gezmekten deil szlemeli ye kadro 3600 ek gsterge eyt gibi sorunlardaki umursamaz tavrlara son verip gnller kazanmaktan geiyor ""aklsz ban cezasn ayaklar eker"" ayaklarnz deil aklnz altrn"|OTHER
|ka yanda olursan ol uyuyunca geecekmi gibi gelecek ka yanda olursan ol uyuyunca gemeyecek|OTHER
|bu scaklarda inaatta tam 6 sene amelelik yaptm vay bee ne gnlerdi|OTHER
|en deer verdiklerimiz yakt canmz|OTHER
|yine ayn ryalarla uyandm bir gn|OTHER
|hi bi olay dikkatimi ekmiyor neden|OTHER
|user ktahya sounda 2 tur at gelir ldzldd|OTHER
|offfff aka be aka daha amadm kesintileri grmemek iin amyorum kese kese bana da bii brakmlardr inallah|OTHER
|mert karacan youtube da mkemmel bir seri balatm ksa srede patlar|OTHER
|deiimveumutkurultay iin ilk aama tamam imdi ikinci destek gnllerdeki genel bakann rahat ve tek ses tek yrek alabilmesi iin ydk ve pm listelerini blok olarak kendi ekibinden karabilmesinde kadro hareketi iin bu ok nemli ! birlencedeiimgelecek|OTHER
|evet bugn kmede kalmaya alan fenerinmavar|OTHER
|"user snavlar ve hayat pek gzel gitmiyor ama etrafmda moral bana destek olan insanlar var bangtan var "") sende hep iyi kal sonsuza kadar iekli yollarda el ele"|OTHER
|user user aykut kocaman disaridan cevirdikleri toplarla gol olan pozisyonlara saysin|OTHER
|kariyer yapcam diye bi kursa gittim orda dahil olduum wp grubunda kadnlar birbirlerine yemek tarifi falan veriyo ben byle hayal etmemitim|OTHER
|hak eden olduu yerde biraktik yari yolda del|OTHER
|bana sigara alp gelene evimde bir kahve ve sohbet hediye ediyorum|OTHER
|uyandk m uyandk orada problem yok ama sor bakalm nasl uyandk niin uyandk uyanmak istedik mi gnl rzasyla m uyandk|OTHER
|"yazda bir cmlem eksik km sayfa gncellenene kadar burada kalsn ""yazmasam deli olacaktm "" demiti ya sait faik ben de godard makinesi'ni yazarken deli olacaktm "|OTHER
|user ne yani kendini affetir macimi bu 4 kisi fazla verseniz akhisara yine yenicez|OTHER
|hayal krklnn nedeni beklenti fazlaldr o yzden 0 beklenti sonsuz mutluluk carsamba|OTHER
|user sra akll bisiklet sistemine gelmi gibi sayn rektrm|OTHER
|koskoca patoloji kitabnda meme hastalklarna 10 yaprak ayrmak ne demek bu konu stne daha ok gidilmeli|OTHER
|kardeime japon bal aldm o kadar ucuzmu ki ben ok zlrdm bu kadar gzel ve ucuz olsam zaten neler ekiyor hayvan ah alayacam|OTHER
|yreimde ldrdm sizi sevmeyerek ama bunu o kadar ok gerekletirmek istiyorum ki nefretim ok ar basyor neden sevmediniz ki beni|OTHER
|user user user user user ben sizin zorla sdrmaya altnz hi bir grup ya da dnceye tabi olmayacak kadar zgrm kafam kark falan deil |OTHER
|finale kalan anadolu efesi ve ergin ataman tebrik ederim muhteemdiler f4glory fenerbahe|OTHER
|user sizinkiler not tutuyor ya ite yanln var ismail !|OTHER
|nnze aldnz deil yannza aldnzn kymetini bilin|OTHER
|user sus yle deyince alnyolar ahsjsj|OTHER
|birseyleri dnp alayamayal uzun zaman oldu hazr soan dorarken alamken dier hznleride aradan kartaym diyorum nice fikir|OTHER
|user user gne gzl olacak hata yapmsn dzelt onu ltfen|OTHER
|avrupa liginde haftann kadrosuna seilen roco fenerbahe manda oynamad gztepe manda oynamas ettimi sana 2 ma eksiklii tolgay sakatlanmasa roco'nun ma eksii 3 maa kacakt ondan sonra rize mana sreceksin roco niye oynayamyor olacak ma eksii olan nasl oynar|OTHER
|user user mkansz sadece henz zmn bulamadnzdr ama ziraat mhendisleri imkansz deil zm sizde olan atama iin aylardr mcadele ediyor duyun artk bizleri gthb5bn ziraatmh5000 user user user user user|OTHER
|sonrada last kingdom tekrar seyredicektim uhtredimi zledim|OTHER
|user teekkr ederim evren abi seninle tanmak benim iin dnm noktalarndan biriydi|OTHER
|user sizce sezon da gne n en hzl nasl ykseltebiliriz zellikle 25 seviyeden sonra zorlayor|OTHER
|user ok gzel dileklerteekkr ederim|OTHER
|user user user user user user user user user user user user user user user user user user rica ederim abim sizede sevgiler sayglar mutlu akamlar mayslarbizimdir |OTHER
|user user dtnz bu halleri akp'li semenlerde izliyor sizin gibi dnenlerde var kaybettik daha fazla uzatp samalayarak kendimizi rezil etmeyelim diyende var iyi akamlar|OTHER
|user ne diyebilirim ki ak byle iste|OTHER
|user gvensizlikle balayan herhangi bir birlikteligin yryebilecegini syleyebilir misin|OTHER
|user eski eim nafakay ok isteyince ayn cmleyi kurmutum|OTHER
|user user bende arttryorum 15000000 kanka bu ne la delirdin iyice bir de adobe photoshoptan m yapyorsun byle resimleri bende ykledim o program|OTHER
|eski neemi bir daha asla geri getiremeyecekmiim gibi bir his oldu|OTHER
|yannda olmak deil mesele mesele beraber olmak|OTHER
|o kadar ok uzaklamak istiyorum ki buralardan o kadar ok istiyorum yani|OTHER
|etli kuru fasulye daha gzel ok az yemek var|OTHER
|antadan halloween bcei kt ksmetim alacak kesin asdfhjf|OTHER
|user user user user ha sen sabah yine grdn|OTHER
|doru yoldasnz sizin sayenizde memlekette alkol ien saysnda epey bir azalma olacak tebrikler durmak yola devam|OTHER
|user user user user user user user user user user user user user user user user user user user arkadalar az nce yaptm yorumdaki kfrler tamamen hayal rndr benimle alakas yoktur zr|OTHER
|derdim kadar olsayd kuvvetim benimle ba edemezdi kasvetim|OTHER
|koruyucu nleyici salk hizmetlerinin tedavi edici salk hizmetleri kadar nemli olduunun farkna varlmas iin cevresagliginaenaz500atama|OTHER
|sayn vekil bunlarda grmezden gelmeseniz user|OTHER
|user user imdi galatadan kendini atacakmis ama iftar bekliyormus bide ilkindiyi kilmamis daha|OTHER
|user malesed doru hocam bu saydklar ayetullah bey kadar fenerbahedir sardr laciverttir|OTHER
|"bir sgk l mdr ""40 ve 55 ya aras insanlarn alma hayatlarnda en donanml en tecrbeli ve en verimli olduklar dnemdir"" demi 40 yann st en donanml en tecrbeli olduu iin i bulamyor deil mi !"|OTHER
|liseye dair en gzel anlarmdan biri bir hafta sonu  arkadamla odaya kapanm bir kitap semi ve srayla sesli okuya okuya hi odadan kmadan kitab bitirmitik glmseyerek hatrlyorum ve ok zlyorum tekrar olsa|OTHER
|user ak bir bakma sobaya dokunmak gibidir bir defa yanarsn izi kalr sonra bir daha dokunmazsn sadece yanna yaklarsn|OTHER
|hislerini belli ettikten sonra insanlar deiir|OTHER
|user user hocam yelik cretli mi nasl ye olurum cretli ise ne kadar tamam|OTHER
|user halden anlyorsun jedi bir gn birlikte sade soda ielim tm meyvelilere kar|OTHER
|user olabilirdi evde bir tv olsayd )|OTHER
|gzel eyler kedimin olmas gzel olmayan eyler tatile giderken kedimi zleyecek olmam|OTHER
|"kendimi kt bir ey yapan birinin de yerine koyma derecesinde empati lakin yapt eyi makul klmak veya hak vermek iin deil ""neden kt olarak nitelendiriyorum "" ""benim iin kt ne """|OTHER
|evlere enlik oynuyoruz malatya ok rahat geliyor ve affetmiyor|OTHER
|user mrb dm aarsan bir ey soracam sonra yine kapatrsn|OTHER
|lk defa bir km stanbulda geirmeyeceim aklma geldi ankara ayaz ruhumu keser|OTHER
|tapuvekadastromezunlari olarak tapu mdrlklerinin tm ihtiyalarn karlamak i younluunu azaltmak iin gerekli eitimi aldk 3318 kodu ile ettik 1500istihdam beklyoruz user user user user user|OTHER
|bu zamanda sade bir ey bulmak ok zor|OTHER
|emlak dmenden lalanga ayrlk hst baklams meyve|OTHER
|bana vuracak sandm ulan nasl koullandk u oklavaya tbe tbe|OTHER
|benim icin yeterli ne ilaclar ne aletler kullandim bu kadar buyumemisti var olsun akp yokartk|OTHER
|user deli gibi biey oldum ben|OTHER
|user caribouya her gittiimde aklma o malum tivit gelir|OTHER
|o yzden ekip de renmesini katlanarak yapmak istiyorsa baka ekiplerden renmeye ak olmaldr yi ilikiler geliimi hzlandrr|OTHER
|kendi sorar soruyu brak cevap veren kendi olsun|OTHER
|bana feriky tekeli arattran dertler yarn sizi mncklamasa bari|OTHER
|eitimini ncelikli olarak bu kurumda almak iin alm emlakveemlakynetimi mezunlar 2016 kpss puanyla ait olduklari kurumdan en az 500 szlemel alim bekliyor tapuyaszlesmelialmistiyoruz user user user user user user user|OTHER
|user kaybeden kazanan tebrik etmi avrupada siz kaybetmeyi rendiinizde her ey ok gzel olacak|OTHER
|user ki paylam fotoraf arasnda izgi var siyah izgi farkettiiniz zere iki fikir arasndaki farkta byle bir ey iyi analiz etmeniz gerekir ve gerek bir izgi olduunu grmeniz elzemdir!|OTHER
|user gzlerin elaaa nk gzlerin elaaaaaaa|OTHER
|yok sadece ay iiyor olamazlar olsa olsa dnyay yok etme planlar yapyorlardr nk baka dertleri yok|OTHER
|yarn gelecek ayki programm kyor nsallah bi londra paris roma barcelona en olmad bi berlin yat vermisinizdir ekip planlama|OTHER
|doruluumun kymetini bilmeyene ok gzel yanl olurum|OTHER
|user user aynen kardeim bouna sralama yapyorlar|OTHER
|tm slm aleminin 14ubatsevgililergn mbarek ossun|OTHER
|beni eletirmeden nce ben geer dediklerimi geirdim biter dediklerimi bitirdim nefret ettiklerimi sildim artk yeter dedim geride braktklarm hesap sormaya kalkmasn bana farknda olduum iin benim iin var oldunuz vazgetiim iin bugn yoksunuz d|OTHER
|user siyahta ayr bir tat katm ama o gzelim bacaklara|OTHER
|artk benimde enerjim olsun mu|OTHER
|bahar enlikleri yerine okulda davul zurna eliinde nevruz halay ekiyoruz teekkrler sa|OTHER
|taeron kadar deer grmedi szlemeli memur marttaszlemeliyekadro|OTHER
|8 yllk yurt kariyerimde tarihi gemi yenmez denilen ne varsa yedim ve hala salamm o yzden imdi tarihi gemi su iiyorum mezun olmadan nce son bir deneme diyelim afshdhd|OTHER
|nsan bir kere birine ge kalr ve bir daha hi kimse iin acele etmez yaar kemal|OTHER
|bulabildiim tm camel storylerini izliyorum sonuna kadar gidememenin burukluuyla birlikte|OTHER
|user anadolu ajansna gre yam 30 olmu bakanm|OTHER
|st tura ksaydk bile gruptan 2 olarak kacaktk ve arsenal chelsea inter gibi byk takmlar olacakt gereki olmak gerekirse ok byk forvet gelmedii takdirde de spanya ngiltere talya ligin de oynayan takmlarla kar karya kalacaktk bu takmlarn bir oyuncusu dl|OTHER
|user soruma cevap ver benim giresimin gelmesini )|OTHER
|user user 1 ksm insann atas olabilir ama herkesin deil genelleme yapmayalm ltfen benim atalarm mslman trkler|OTHER
|user biliyorum espiri olsun diye yazmtm zaten sadece bir aka |OTHER
|bir insan kardei abisi evlenince bile vedalaamaz dayanamaz ya benimde bahtm bu galiba pazar ac olsada bazlarna rabbim mutluluk nasp etsin|OTHER
|user benim tarifem 10 gb faturada neden 6 gzkyor ve geen aydanda devir olduu halde  be mzik ve video kullandm neden bu kadar dm internetim hesaplarna gre 8 gb civarnda kullanm yapmm mmkn degil lutven bilgi istiyorum tesekkurler|OTHER
|user bide aznda bir haberle gelen alayan bir kartal var yaknda kt bir haber alabilirsin zd|OTHER
|user snerdoandan tarmaatama sayn cumhurbakanm bizler 2 yla yakndr atama bekliyoruz mjdeyi sizden duymak istiyoruz tarmbakanl10binatama 104|OTHER
|user user user erel bakadr zetle il olmas gerekirken srf siyasi sebeplerden dolay il yaplmamtr karamandan daha ok hak ediyordu il olmay erel konya yerine nideye balasalar daha iyi olurdu nide 90 konya 160 km ayrca sahen bana sorduklarnda nideliyim diyorum|OTHER
|deniz baykaln istifa konumasn yapt gn ankaraya gelmekte olan kldarolu genel bakanla aday olmadn aklad ancak 22 mays 2010da gerekletirilen 33 olaan kurultaynda chp genel bakan oldu ynnaranok|OTHER
|kab grnce canm ikolata ekti ok sama|OTHER
|gne koruyucusuz makyajsz dardaym nolacaksa olsun artk|OTHER
|bir eyler kald gecelerin birinde senden|OTHER
|user brakn u senin icin lrm laflarn nce kendiniz icin yaamay grenin|OTHER
|user taht varsa gelirim ama tahta ben otururum yoksa alarm nk ilerimi gzya ile yaparm|OTHER
|user user user katlyorum ben de sandk grevi alp almaya karar vermek iin chp'nin seim gvenlii konusundaki almalarn aklamalarn beklemekteyim|OTHER
|user evet insan bedenine brnm bir ok varlk var|OTHER
|user hocam bursay eskiehire balayamaz myz sadece soruyorum|OTHER
|user user kardeim bende yazcym in dedigin gibi olur in bilgi salamdr|OTHER
|user user bize ne olur mu hemen yerli yapim insansiz kamikaze araclarimiz kargu ve alpagu lari pakistanli kardeslerimize satis teklifi yapmaliyiz|OTHER
|user lk gol ryan babel atar kullanc ad tranko|OTHER
|arkadalar bakn bu gezi ruhudur |OTHER
|ya user dnlyorum dnlyorum yetmyo yen arki ikarir misin ! !|OTHER
|user tarm kalkndracak yine ziraat mhendisidir zin verin teknik bilgimizi ifti ile bulusturalm tarm bakanlnn 10 bn lik personel alm talebi firesiz onaylanmal gthb5bn user ziraatmh5000 user user|OTHER
|user kim olabilir be kzan kml|OTHER
|mesela bu etiket altnda tepkisini gsteren kayseri kafder adn kayseri erkes dernei olarak deitirir mi zira trke yazdklar duyurularn altnda kafkas dernei yazarken erkese yaptklar duyurularn altnda adge xase yazyor tabelada da yazmas inann ki ok yakr|OTHER
|kankaya kapak o simdi asker user user user user user user user user user user user user|OTHER
|gnaydn iyi sabahlar hayrl cumalar ayn zamanda da iyi gnler bu kadar lafn stne gnnz kt geerse sizin sorununuz |OTHER
|user bunlarn hibiri deil ersun yanal yada aykut kocaman arasnda tercih yaplabilir|OTHER
|"filmler diziler hakknda yazdmz yazlar iin elbet siteye ynlendiriyoruz fakat amacmz yksek trafiklerden ok bir amme hizmeti sunmak ""bu filmi de izlersin detaylar burada"" gibi yeni bir sistem ile daha minimalize edip kitleyi bytmek hedefi de var"|OTHER
|unutma lmei daim ana dur bugn bana ise yarn sanadur ( la edri)|OTHER
|user hocam sen kitaplarini (ya da sarap ya da puro koleksiyonunu) ne zaman vericen bi bakanliga seni seviyorum ama bunu ne kadar erken yaparsan o kadar az hayal kirikligi yasiycam saygilar|OTHER
|user poete fena almz sana sormular poet alrmsn diye dn marketden tek para bi deterjan aldm parasn aldlar bende bekliyorum niye poet vermiyo diye jeton dt tabi deterjan elime aldm ktm ))) 10 kuru iyi 25 kuru ok|OTHER
|"user user bi de sen ""gnll"" ne demek ucretsiz atanmis avukatlik ne demek onlari bi cozmeye calis haid cnaim"|OTHER
|user benle ayn grupta msn bak bakim|OTHER
|ban dner gzlerin kararr ve bilincini yitirirsin sonras sonsuz karanlk|OTHER
|user user user kampanyayla ilgili bi sorun yayorum|OTHER
|user fantastik hago!!  pekala pekala bu akam grmek ister misin|OTHER
|user gelde sinir olma baak sporu sayma bizde onlar deplasman da yendik genede 11 puan yapyor|OTHER
|user ulan admin deil adamn dibi dibi|OTHER
|iyi hissedene kadar hibir ey hissetmek istemiyorum|OTHER
|senin alcan olsun utand meyhaneleer|OTHER
|"user bunun sadece ""ahajkdkgks"" yazan parodi hesab daha komikti"|OTHER
|btn annelerin gizli sper gleri var bence |OTHER
|user ok iyi kalpli ok cmert bir yorum olmu|OTHER
|user user sizden renmiler olabilir bu kafayla bu toplum ile birlik beraberlik zor ama size ramen sizide kuaklyacak bu adam|OTHER
|user dnemin ruhuna gre bakacaksak iimiz var ona kalrsa bu dnemde de le edebiyat var ama kaliteli yayn da var|OTHER
|deeri olup meta olmayan tek ey etikliktir|OTHER
|fenerbahce sevgisini milyonlara asilayan buyuk sinyor leftere selam gotur bizden her zaman kalbimizdesin|OTHER
|sabaha kadar hi uyumadm en son kahvalt sofrasnda uyukluyordum gne puanm 0|OTHER
|cehennem ne gzeldir imdi scack|OTHER
|user sen nasl bir hatunsun offf|OTHER
|hayat bu kadar ciddiye almayn|OTHER
|sellektr yapmanza gerek yok zaman gelince hepinize yol vereceim ddddd|OTHER
|bana gre annelik duygusu bir tek insan oluna verilmi nimet deildir hi bir anne gznden saknamaz evladn bu her canl tr iin de yle ve bana gre anneliin cinsiyeti de yok|OTHER
|user ya senin hadi neyse geerli bir mazeretin var ben nasl 10 olabilirim ki sadece soruyorum|OTHER
|user akp de neler oluyor neden herkes akp den kayor yoksa gelecekteki byk yargdanm kayorlar akp neden dalyor semen artk hereyi grdnm sylyor son aba tutacakm millet byk ihaneti af edermi|OTHER
|user ayak parmagini kapinin altina sikistir ve elindeki kahve de haliya dokulsun o an|OTHER
|gzel gnlere meylim var da mecalim pek kalmad gibi|OTHER
|user imdi askl uzun beyaz bir elbise yada krmz mi i elbise sahane olurdu )|OTHER
|bu yasa kmazsa biz alktan lmeyiz zaten altk byle yaamaya ancak lene kadar bizden elerimizden ocuklarmzdan oy almay unutun eyt eytmaliyetdeilmaduriyettir eytyoksaoyyok user user user user user|OTHER
|user hocam sorulan sorulara anlalan sonra cevap vereceginizi umarak yaptginz analizde yukarda 552 545 lere kadar kacagn n grebilirmiyiz burdan dnecegi malum aag seviye tekrar 531 olabilir mi|OTHER
|xec herdem ile serbang emrah halktr biz her dem halkm yanndayz ne var ki elitini retemeyen halk em fazla bu kadar olur|OTHER
|"user seimden nce tarm ve orman bakan bekir pakdemirli orman genel mdrlne ""5000 personel almn kpss puanina gre ve torpilsiz yapacaz"" dedi seimden sonra orman genel mdrl almlarn mlakat ile yaplacan aklad mlakat istemiyoruz adalet istiyoruz"|OTHER
|user user diysn sonra zeki yavru ckmasun veya pero|OTHER
|user user benim iin tek gerek lmdr aklar bile lmsz deilken sadece lm ldremezsin )|OTHER
|o zaman lkeye faydal bir alma olur|OTHER
|ufak tefek cinayetler edip gibi yok yere ldrldm|OTHER
|user bets10 artk bonus versen diyorum admin|OTHER
|lmeden nce yapmak istediim tek ey ldrmek|OTHER
|bata ehit anneleri olmak zere tm elleri plesi annelerimizin anneler gnn kutlarm|OTHER
|user user ee yardm iin toprak m verildi|OTHER
|elbet bir gn bir ekilde yollarmz kesiir gzlerimiz bir sokakta denk der|OTHER
|twitter da ok bo insan ve ok iyi insanlar tandm tk twitter ama artk aktif olamayacam hhgg|OTHER
|user hatta avrupann 400 ylda yapt rnesans 15 ylda yapt yeryzndeki btn dinleri toplasalar atatrk kadar insanla katklar olmamtr|OTHER
|sana ihtiyacm olduunu bile bile gelmiyorsun|OTHER
|adaletsiz afkapsam user user user user user ceza indirimi olsun herkes yararlansn|OTHER
|bilin bakalm kim ylbana 0 hediyeyle ve evde pijamayla girecek|OTHER
|yedi iklim alan altrrken pegem e gidenler alay ekiyodu sonu belli oldu ok uyarmtm ok|OTHER
|user o braklmazsa borsa gm diye brakr|OTHER
|hayata yeniden balamann bir yolunu bulacaz elimi tut|OTHER
|yerle gk arasnda bir yerde|OTHER
|user celbim 2020 ylna kt kimse i vermiyor ektiim kredinin faizinde bouluyorum gndelik ilere gidiyorum dzenimiz alt st oldu ltfen birileri bu ie son versin bedelliaskerlik tektipaskerlikonayvakti user user user user|OTHER
|user i bayraminiz kutlu olsun ayrca bu gn sevgili babam ylmaz selcuk lm yl dnm bugn benim iin daha nemli|OTHER
|user ben de bu insanlar nereye gidiyor diye merak eder giderdim 1 benden|OTHER
|salk kalsayd olacak olan ey u ankinden farkl olmazd messi vs ronaldo|OTHER
|ben yok ya calisma hayati icin erken guzel bi master yapayim once ortalamam d|OTHER
|imdi ikisi de evli ama baka kiilerle|OTHER
|user gnaydn abone no 7495133640 mteri no 1237117 trknet hizmetimi iptal etmitim iptal edildii ile ilgili mesaj da geldi fakat online ilemlere girdiimde hizmetimin devam ettiini gryorum ptal edilip edilmediiyle ilgili cevap almak istiyorum|OTHER
|ikinin  n iki harfli olmas ok canm skyor|OTHER
|user user bu taraftar anlk baarya a kimseye kredi verecek halimiz kalmad yaplanmaya sayg duyuyorum geleceimizi hazrlyoruz ama gei srecinde zellikle bu sene iin nokta transferler yaplmaliyd|OTHER
|hereyin telafisi olurda ihanetin telafisi olmaz|OTHER
|tamam allah kimseyi kimseye muhta etmesin de sen bana bi yalvar yaa|OTHER
|user user user ki tarafnda hatalar var ama ne hikmetse sulu olan eletiri yiyen hep miray tarafn oluyor (|OTHER
|fake hesaptan mecliste canl yayn yapmak kamuyarar yelizzzz user|OTHER
|bu yl gol kral burak ylmaz falcaogeliyor|OTHER
|ben atilla lhan deilim belki de sen bana mecbursundur bilemeyiz|OTHER
|user nasl ki rvpyi krasic i vb oyuncular aziz yldrm a yazdysak bu tablo ve kt takmda ali ko a yazar sfr destek ve ayn mali tablo ile geen sene ampiyonlua oynayan camia bu sene kme de kalma mcadelesi veriyor ali ko fenerbahe den byk deildir|OTHER
|user gnaydn dersin sende varm gibi|OTHER
|yaptn herey in minnettarz bu taraftar bu vefay unutmaz her zaman arkandayz sen bizim tarihe altn harflerle yazlacak olan liderimizaliko sun senin gibisi bidaha gelmez yiki user li ali ko'sun|OTHER
|mkanz elediinde olaslksz olsa da elinde kalan gerek olmaldr |OTHER
|ve hava aydinlandi yine uykusuz|OTHER
|yarn pazartesi keke 5 gn tatil 2 gn i olsa|OTHER
|user abbas bey merhaba ziya bey ve hamza beyle grtmzde 4 2 sisteminde 4 yln sonunda e durumu elde edebileceimizi sylemilerdi 3 1 sisteminde de 4 yln sonunda e durumundan faydalanacaksnz diyorlar ltfen kenizde bu bilgiye de yer verin biz aileler aresiziz artk|OTHER
|user o ne demek babo ktk urfa ite|OTHER
|selamu aleykm vereceiniz her trl etkileimin sayfamz amacna daha hzl ulatracan belirtmek istiyoruz bu yzden dm gruplar kurduk gnll arkadalar bayan ve erkek ayr olmak zere gruplarmza davet ediyoruz|OTHER
|dayimlarin beni zorla inandirmaya calismasi bayiliyorum size ve azminize ama size mi kaldi bu karar|OTHER
|user ben bu tweeti bir anl fannn atm olabilecegine inanmyorum ayrca byle dsnen anl fanlar varsa anl sampiyon olursa sevinmesin cnk sevinmeyi de haketmeyecekler|OTHER
|user user user user sanmtk ki ikimiz yeryznde ancak birbirimiz iin varz ikimiz sanmtk ki tek kiilik bir yalnzla bile rahata sarz hi yanlmamz  sarbah kadn sarp zgezpirinci canercindoruk sarbahnisdor 21|OTHER
|gzlerim yanyor boazm ve midem yanyor 24 saat nce hibir eyim yoktu tam aksine mutluydum bile ben bu gnee dmanm|OTHER
|user karde oluyoruz birileride bu kardelie tiyatro diyor fakat partilerinde tiyatro evirmeye alyorlar|OTHER
|begm hecei ve dierleri anl bi saln artk bizden ok konuuyorsunuz survivor2018|OTHER
|user evetgun geliyor bkyorum sendenama stanbuldan bkmak gibi bir ey bu|OTHER
|user sokakta yrrken bile can gvenliiniz yoksa esenlere ho geldiniz zlenir mi yapma ltfen tekrar dn|OTHER
|user spotifyda ilk gn dinlenme rekorunu krabilmek iin yalnzc ana arky koydu neden sebebi ortada hisseleri dyor ve u an bunun derdinde|OTHER
|en byk pimanlm seni kaybetmek olur rabbim allahm bizi seni kaybedenlerden eyleme ( amiiiiin)|OTHER
|ne bileyim ite insan soruyor hic mi bir ey yolunda gitmez user|OTHER
|para almama gerek yok tereddt etmeden tutarm xd|OTHER
|user start up dergisini aldm okudum giriimde rnek alnacak nemli insanlardan birisiniz keke sizle alma frsatm olsayd harika bir giriimcisiniz 10 yl sonra bu pazar da grmek zere|OTHER
|tasty like a raindrop she's got the look en iyi kadn oyuncu demetzdemir en iyi erkek oyuncu canyaman en iyi dizi erkenciku en iyi dizi ifti canem pantenealtnkelebekdlleri|OTHER
|user kpss puanlarmz aldk gnlmzde tarm bakanlnda mhendislik yapmak var gda mhendisleri ve dier branlar iin atama yaplaca bakanmz tarafndan sylendi bekliyoruz user 5bingdamhendisi tarmsiz bakanlgisiz|OTHER
|user ezberci sisteme nasl karyz ama bi gr ahhahshabshzb|OTHER
